n_features,n_samples,embedding_dim,sigma_theta,sigma_Z,sample_cov_SSE,sample_cov_RMSE,ledoit_wolf_SSE,ledoit_wolf_RMSE,latent_model_SSE,latent_model_RMSE
100,50,25,1.0,1.0,115912.13228213636,3.4045870863018965,83677.41114904253,2.892704809499969,257172.6454876346,5.071219236905801
100,50,50,1.0,1.0,521395.9171665,7.220775008034109,254315.8205566225,5.042973533111417,596758.8234870811,7.725016656856352
100,50,50,1.0,1.0,471640.0786455668,6.867605686449731,274639.54452273384,5.240606305788806,622619.0074518948,7.890621062070429
100,50,50,1.0,1.0,491916.5344258003,7.013676171778965,258831.9683122637,5.087553128098652,585614.4467327297,7.652544980153529
100,50,50,1.0,1.0,555982.4718268884,7.456423216441571,275638.99437348935,5.250133278055799,645843.673844031,8.036439969563832
100,50,50,1.0,1.0,541639.7002898119,7.359617519204459,280664.88052141096,5.297781427365712,666311.2591957067,8.16278910174523
100,50,50,1.0,1.0,594630.0732280596,7.711226058338969,269939.1654604643,5.195567009099817,570082.2386973614,7.550379054705543
100,50,50,1.0,1.0,553978.6122065962,7.442973950018878,275365.971801054,5.247532484902346,620075.3006860848,7.874486019329039
100,50,50,1.0,1.0,543244.210986459,7.370510233263768,276090.2203498522,5.254428801971268,637437.7405046476,7.983969817732577
100,50,50,1.0,1.0,508770.1003851885,7.132812211079082,266055.22593996575,5.158054148028747,631775.7530014489,7.948432254233843
100,50,50,1.0,1.0,525073.1670008858,7.246193255778414,243065.9873370102,4.930172282354951,584392.6682723112,7.644557987694979
100,50,100,1.0,1.0,1767251.709996112,13.293801976846623,717390.6663964958,8.469891772605456,1439491.3151713586,11.997880292665695
100,50,100,1.0,1.0,1831778.9966634407,13.534323022092538,707413.4353315646,8.410787331347553,1394137.4197469873,11.807359652974863
100,50,100,1.0,1.0,1899348.8054458569,13.781686418743739,720235.405929915,8.48666840361938,1522124.474470517,12.337440879171483
100,50,100,1.0,1.0,1855135.259890101,13.620335017502695,701241.9260517643,8.374018904037442,1474244.0809314183,12.14184533310904
100,50,100,1.0,1.0,1909990.435769438,13.820240358870167,680687.9268410959,8.250381365979974,1423178.544366228,11.929704708693455
100,50,100,1.0,1.0,1978997.1306381873,14.067683287017049,702449.8481047606,8.38122812065607,1482896.5742785402,12.177424088363438
100,50,100,1.0,1.0,1945437.5306433542,13.947894216129379,657749.1463406343,8.110173526754126,1417789.8673339514,11.907098165942664
100,50,100,1.0,1.0,2088731.48031494,14.4524443618197,654523.393516446,8.09026200760177,1401687.7019716573,11.839289260642538
100,50,100,1.0,1.0,1888155.9005384038,13.741018523160513,695914.7289666006,8.342150376051734,1500410.202897635,12.249123245757778
100,50,100,1.0,1.0,1771596.142543555,13.310132014910877,658435.5913181467,8.11440442249551,1373660.3567412982,11.720325749488786
